date	tau	Tb	pwv	lwp	iwp	o3
2021-04-09_22.00.00	4.5483e-01	9.8933e+01	8.1100e+00		4.9332e-01	3.6930e+02
2021-04-09_23.00.00	4.4065e-01	9.6551e+01	7.8519e+00		4.0281e-01	3.7327e+02
2021-04-10_00.00.00	4.0683e-01	9.0998e+01	7.1699e+00		2.3935e-01	3.7321e+02
2021-04-10_01.00.00	4.0229e-01	9.0068e+01	7.1010e+00	2.0180e-04	2.4659e-01	3.7080e+02
2021-04-10_02.00.00	4.0109e-01	8.9836e+01	6.9816e+00	1.9000e-03	2.5644e-01	3.6909e+02
2021-04-10_03.00.00	3.9356e-01	8.8487e+01	6.9540e+00	4.5330e-04	1.6409e-01	3.6840e+02
2021-04-10_04.00.00	4.0810e-01	9.1016e+01	6.9924e+00	7.6575e-03	7.0306e-02	3.6541e+02
2021-04-10_05.00.00	5.7258e-01	1.1774e+02	6.9306e+00	8.1475e-02	2.1593e-02	3.6488e+02
2021-04-10_06.00.00	7.4638e-01	1.4177e+02	6.6678e+00	1.6202e-01	1.5804e-02	3.6589e+02
2021-04-10_07.00.00	9.5110e-01	1.6496e+02	6.7603e+00	2.4680e-01	9.6937e-02	3.6473e+02
2021-04-10_08.00.00	5.6728e-01	1.1739e+02	6.8912e+00	7.6440e-02	5.4912e-02	3.6488e+02
2021-04-10_09.00.00	5.2609e-01	1.1122e+02	6.7585e+00	6.2690e-02	5.7806e-03	3.6509e+02
2021-04-10_10.00.00	4.7145e-01	1.0247e+02	6.7469e+00	3.9570e-02	7.2634e-03	3.6470e+02
2021-04-10_11.00.00	3.9162e-01	8.8978e+01	6.3584e+00	1.5723e-02	3.8897e-03	3.6256e+02
2021-04-10_12.00.00	5.9065e-01	1.2140e+02	6.3388e+00	1.0121e-01	8.6804e-03	3.6379e+02
2021-04-10_13.00.00	7.6765e-01	1.4527e+02	6.3364e+00	1.7657e-01	2.2869e-02	3.6410e+02
2021-04-10_14.00.00	1.1171e+00	1.8164e+02	6.3913e+00	3.2421e-01	4.4846e-02	3.6460e+02
2021-04-10_15.00.00	1.0305e+00	1.7337e+02	6.2631e+00	2.9282e-01	4.7265e-02	3.6383e+02
2021-04-10_16.00.00	5.5074e-01	1.1542e+02	5.9126e+00	9.2141e-02	4.0100e-02	3.6500e+02
2021-04-10_17.00.00	1.0312e+00	1.7383e+02	5.8870e+00	2.9908e-01	3.3794e-02	3.6538e+02
2021-04-10_18.00.00	1.6101e+00	2.1525e+02	6.0984e+00	5.4647e-01	6.0926e-02	3.6539e+02
2021-04-10_19.00.00	1.2696e+00	1.9333e+02	6.2083e+00	3.9923e-01	1.3124e-01	3.6604e+02
2021-04-10_20.00.00	5.8947e-01	1.2112e+02	5.8049e+00	1.1201e-01	3.4652e-02	3.6368e+02
2021-04-10_21.00.00	6.0708e-01	1.2390e+02	6.2264e+00	1.0768e-01	7.3377e-02	3.5939e+02
2021-04-10_22.00.00	5.4105e-01	1.1398e+02	5.9437e+00	8.7580e-02	6.9515e-03	3.5691e+02
2021-04-10_23.00.00	7.5497e-01	1.4366e+02	6.0957e+00	1.7590e-01	4.7898e-03	3.5466e+02
2021-04-11_00.00.00	7.0043e-01	1.3678e+02	6.0202e+00	1.5386e-01	1.3636e-03	3.5270e+02
2021-04-11_01.00.00	6.0527e-01	1.2357e+02	5.9194e+00	1.1594e-01	1.9209e-03	3.5129e+02
2021-04-11_02.00.00	4.9411e-01	1.0671e+02	5.6130e+00	7.5370e-02	4.0110e-04	3.4932e+02
2021-04-11_03.00.00	8.8590e-01	1.5894e+02	6.2951e+00	2.2720e-01	1.1072e-03	3.4859e+02
2021-04-11_04.00.00	1.1739e+00	1.8604e+02	6.4532e+00	3.4980e-01	1.7362e-02	3.4779e+02
2021-04-11_05.00.00	6.4764e-01	1.2930e+02	6.6911e+00	1.1719e-01	4.8809e-03	3.5337e+02
2021-04-11_06.00.00	1.0001e+00	1.7032e+02	7.3709e+00	2.5383e-01	2.4815e-02	3.5942e+02
2021-04-11_07.00.00	7.1843e-01	1.3878e+02	7.6735e+00	1.2143e-01	1.3464e-01	3.5990e+02
2021-04-11_08.00.00	1.1678e+00	1.8592e+02	7.7289e+00	3.1263e-01	1.2508e-01	3.5704e+02
2021-04-11_09.00.00	1.0425e+00	1.7449e+02	7.7140e+00	2.6110e-01	2.2686e-01	3.5354e+02
2021-04-11_10.00.00	8.1536e-01	1.5105e+02	7.7774e+00	1.5843e-01	1.7792e-01	3.5079e+02
2021-04-11_11.00.00	1.1151e+00	1.8163e+02	7.9032e+00	2.8374e-01	2.4133e-01	3.5128e+02
2021-04-11_12.00.00	6.3486e-01	1.2767e+02	7.7566e+00	8.3473e-02	9.5970e-02	3.5365e+02
2021-04-11_13.00.00	6.8800e-01	1.3516e+02	7.6207e+00	1.0856e-01	1.1033e-01	3.5495e+02
2021-04-11_14.00.00	6.6788e-01	1.3251e+02	7.3573e+00	1.0712e-01	1.9825e-02	3.5547e+02
2021-04-11_15.00.00	8.6883e-01	1.5748e+02	7.3891e+00	1.9175e-01	1.4290e-02	3.5557e+02
2021-04-11_16.00.00	1.1603e+00	1.8579e+02	7.5710e+00	3.1176e-01	3.4732e-02	3.5833e+02
2021-04-11_17.00.00	1.1901e+00	1.8824e+02	7.7233e+00	3.2081e-01	4.4860e-02	3.5899e+02
