date	tau	Tb	pwv	lwp	iwp	o3
2021-04-07_23.00.00	1.4671e-01	4.0309e+01	3.2698e+00		8.0161e-05	3.0096e+02
2021-04-08_00.00.00	1.5486e-01	4.2137e+01	3.4508e+00		4.9420e-05	3.0230e+02
2021-04-08_01.00.00	1.3734e-01	3.8069e+01	3.1012e+00			3.0347e+02
2021-04-08_02.00.00	1.1183e-01	3.1948e+01	2.5658e+00		6.2820e-05	3.0435e+02
2021-04-08_03.00.00	1.0057e-01	2.9161e+01	2.3190e+00		9.1550e-06	3.0463e+02
2021-04-08_04.00.00	8.5826e-02	2.5585e+01	1.9660e+00		3.3023e-05	3.0844e+02
2021-04-08_05.00.00	7.5508e-02	2.3098e+01	1.7061e+00		1.1834e-04	3.1145e+02
2021-04-08_06.00.00	6.3808e-02	2.0284e+01	1.3944e+00		7.4740e-04	3.1430e+02
2021-04-08_07.00.00	4.5249e-02	1.5844e+01	8.7434e-01			3.1323e+02
2021-04-08_08.00.00	3.7207e-02	1.3862e+01	6.4653e-01			3.0983e+02
2021-04-08_09.00.00	3.4252e-02	1.3131e+01	5.5944e-01			3.0734e+02
2021-04-08_10.00.00	3.4036e-02	1.3103e+01	5.4672e-01			3.0449e+02
2021-04-08_11.00.00	3.5053e-02	1.3361e+01	5.7375e-01			3.0306e+02
2021-04-08_12.00.00	3.6253e-02	1.3665e+01	6.0646e-01			3.0312e+02
2021-04-08_13.00.00	3.6691e-02	1.3790e+01	6.1517e-01			3.0138e+02
2021-04-08_14.00.00	3.6757e-02	1.3829e+01	6.1094e-01			2.9995e+02
2021-04-08_15.00.00	3.6935e-02	1.3912e+01	6.0542e-01			2.9939e+02
2021-04-08_16.00.00	4.1376e-02	1.5050e+01	7.1916e-01			2.9902e+02
2021-04-08_17.00.00	4.3098e-02	1.5523e+01	7.5689e-01			2.9806e+02
2021-04-08_18.00.00	4.4623e-02	1.5934e+01	7.9229e-01			2.9932e+02
2021-04-08_19.00.00	4.5104e-02	1.6071e+01	8.0051e-01			2.9911e+02
2021-04-08_20.00.00	4.4701e-02	1.5973e+01	7.9148e-01			2.9766e+02
2021-04-08_21.00.00	4.5152e-02	1.6096e+01	8.0282e-01		2.6260e-05	2.9643e+02
2021-04-08_22.00.00	4.5319e-02	1.6118e+01	8.1435e-01			2.9662e+02
2021-04-08_23.00.00	4.1147e-02	1.5051e+01	7.1175e-01			2.9584e+02
2021-04-09_00.00.00	4.1808e-02	1.5203e+01	7.3593e-01			2.9431e+02
2021-04-09_01.00.00	4.1973e-02	1.5225e+01	7.4985e-01			2.9489e+02
