date	tau	Tb	pwv	lwp	iwp	o3
2021-04-07_19.00.00	5.3765e-02	1.6915e+01	6.1739e-01		6.7462e-04	4.2333e+02
2021-04-07_20.00.00	5.3416e-02	1.6830e+01	6.1028e-01		6.7161e-04	4.2685e+02
2021-04-07_21.00.00	5.3031e-02	1.6736e+01	6.0181e-01		7.8275e-04	4.3091e+02
2021-04-07_22.00.00	5.2537e-02	1.6612e+01	5.9132e-01		1.3891e-03	4.3271e+02
2021-04-07_23.00.00	5.2024e-02	1.6488e+01	5.8192e-01		1.2555e-03	4.3315e+02
2021-04-08_00.00.00	5.1585e-02	1.6383e+01	5.7418e-01		1.5151e-03	4.3213e+02
2021-04-08_03.00.00	5.0446e-02	1.6109e+01	5.5285e-01		8.7508e-04	4.2232e+02
2021-04-08_06.00.00	4.8367e-02	1.5625e+01	5.1818e-01		4.4239e-04	4.2603e+02
2021-04-08_09.00.00	4.8610e-02	1.5674e+01	5.2114e-01		3.1037e-03	4.2376e+02
2021-04-08_12.00.00	4.5286e-02	1.4920e+01	4.6616e-01		1.7568e-05	4.2890e+02
2021-04-08_15.00.00	4.2799e-02	1.4367e+01	4.1679e-01		2.6201e-06	4.2759e+02
2021-04-08_18.00.00	4.1223e-02	1.4017e+01	3.8582e-01		3.0490e-07	4.3079e+02
2021-04-08_21.00.00	3.7705e-02	1.3198e+01	3.2116e-01		1.3694e-06	4.3321e+02
2021-04-09_00.00.00	3.5294e-02	1.2624e+01	2.8028e-01		2.6576e-06	4.3100e+02
2021-04-09_03.00.00	3.7003e-02	1.3022e+01	3.1454e-01		2.6343e-06	4.2732e+02
