date	tau	Tb	pwv	lwp	iwp	o3
2021-04-04_13.00.00	2.2523e-01	5.6742e+01	4.9530e+00		4.4501e-03	3.0349e+02
2021-04-04_14.00.00	2.3047e-01	5.7865e+01	5.0346e+00		1.1184e-03	3.0380e+02
2021-04-04_15.00.00	2.3738e-01	5.9333e+01	5.1617e+00		7.8181e-04	3.0591e+02
2021-04-04_16.00.00	2.4281e-01	6.0447e+01	5.2743e+00		3.4140e-03	3.0734e+02
2021-04-04_17.00.00	2.4275e-01	6.0423e+01	5.2624e+00		9.9101e-03	3.0649e+02
2021-04-04_18.00.00	2.4459e-01	6.0766e+01	5.2998e+00		7.6818e-03	3.0638e+02
2021-04-04_19.00.00	2.4585e-01	6.1065e+01	5.3200e+00		7.4570e-04	3.0791e+02
2021-04-04_20.00.00	2.3781e-01	5.9514e+01	5.1289e+00		1.9274e-04	3.0789e+02
2021-04-04_21.00.00	2.2974e-01	5.7890e+01	4.9631e+00	3.4250e-05	4.5645e-05	3.0679e+02
2021-04-04_22.00.00	2.1986e-01	5.6004e+01	4.7119e+00	2.4860e-04	1.9050e-07	3.0568e+02
2021-04-04_23.00.00	2.2258e-01	5.6631e+01	4.7410e+00	2.3750e-04	7.8840e-06	3.0424e+02
2021-04-05_00.00.00	2.4271e-01	6.0828e+01	5.1319e+00	3.6140e-04	3.0172e-05	3.0493e+02
2021-04-05_01.00.00	2.4773e-01	6.1894e+01	5.2222e+00	7.0170e-05	3.7755e-05	3.0374e+02
2021-04-05_02.00.00	2.3565e-01	5.9525e+01	4.9408e+00	1.1830e-04		3.0282e+02
2021-04-05_03.00.00	2.2402e-01	5.7215e+01	4.6681e+00	2.0580e-04		3.0181e+02
2021-04-05_04.00.00	2.1007e-01	5.4376e+01	4.3755e+00			3.0210e+02
2021-04-05_05.00.00	1.9853e-01	5.2041e+01	4.0995e+00			3.0338e+02
2021-04-05_06.00.00	2.0070e-01	5.2538e+01	4.1087e+00			3.0213e+02
2021-04-05_07.00.00	2.0296e-01	5.3057e+01	4.1268e+00			3.0239e+02
2021-04-05_08.00.00	1.9451e-01	5.1294e+01	3.9387e+00		4.7180e-05	3.0161e+02
2021-04-05_09.00.00	1.8531e-01	4.9274e+01	3.7408e+00			3.0318e+02
2021-04-05_10.00.00	1.8550e-01	4.9281e+01	3.7419e+00		2.0340e-06	3.0247e+02
2021-04-05_11.00.00	1.7820e-01	4.7684e+01	3.5896e+00			3.0062e+02
2021-04-05_12.00.00	1.7700e-01	4.7379e+01	3.5757e+00	9.4540e-07		2.9799e+02
2021-04-05_13.00.00	1.7019e-01	4.5873e+01	3.4379e+00	3.5460e-06		2.9692e+02
2021-04-05_14.00.00	1.6032e-01	4.3700e+01	3.2338e+00	5.1680e-06		2.9729e+02
2021-04-05_15.00.00	1.5160e-01	4.1727e+01	3.0629e+00			2.9615e+02
2021-04-05_16.00.00	1.4161e-01	3.9461e+01	2.8575e+00	2.7550e-05		2.9553e+02
2021-04-05_17.00.00	1.3150e-01	3.7147e+01	2.6554e+00	2.4400e-05		2.9384e+02
2021-04-05_18.00.00	1.1808e-01	3.4023e+01	2.3848e+00	1.0140e-04		2.9337e+02
2021-04-05_19.00.00	1.0743e-01	3.1498e+01	2.1770e+00	4.9380e-06		2.9329e+02
