date	tau	Tb	pwv	lwp	iwp	o3
2021-04-20_06.00.00	1.9869e-01	5.1866e+01	3.7499e+00		2.0476e-03	3.1978e+02
2021-04-20_09.00.00	1.6987e-01	4.5090e+01	3.3428e+00		1.2803e-02	3.2548e+02
2021-04-20_12.00.00	1.9948e-01	5.1166e+01	4.0373e+00	2.4404e-04	3.0132e-02	3.2634e+02
2021-04-20_15.00.00	2.9602e-01	7.0600e+01	5.8933e+00	6.7164e-05	2.5036e-01	3.3369e+02
2021-04-20_18.00.00	3.4997e-01	8.0857e+01	6.9082e+00	4.7398e-05	3.1508e-01	3.3443e+02
2021-04-20_21.00.00	3.8871e-01	8.8477e+01	7.6292e+00		5.0622e-02	3.3511e+02
2021-04-21_00.00.00	4.4592e-01	9.8091e+01	8.5048e+00	5.4600e-04	3.5257e-01	3.3948e+02
2021-04-21_03.00.00	4.6492e-01	1.0102e+02	8.7196e+00		4.6208e-01	3.4335e+02
2021-04-21_06.00.00	4.5034e-01	9.8593e+01	8.4564e+00		3.6051e-01	3.4885e+02
2021-04-21_09.00.00	3.9506e-01	8.8982e+01	7.5415e+00		2.2592e-01	3.4769e+02
2021-04-21_12.00.00	3.2341e-01	7.6249e+01	6.1178e+00	3.4563e-05	6.0907e-03	3.5482e+02
2021-04-21_15.00.00	3.2223e-01	7.6224e+01	5.8150e+00	3.4063e-03	1.1955e-03	3.5963e+02
2021-04-21_18.00.00	4.3778e-01	9.6901e+01	6.1969e+00	4.3263e-02	4.7159e-03	3.6157e+02
2021-04-21_21.00.00	2.5750e-01	6.3471e+01	4.7644e+00		1.8783e-05	3.6704e+02
2021-04-22_00.00.00	3.5735e-01	8.2088e+01	6.4286e+00	2.2147e-03	1.3160e-01	3.7319e+02
2021-04-22_03.00.00	4.4817e-01	9.8237e+01	6.1443e+00	4.8287e-02	5.5278e-02	3.7511e+02
2021-04-22_06.00.00	2.2374e-01	5.6866e+01	3.9364e+00	5.3610e-07	1.9531e-04	3.8028e+02
